epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.699,1.64254,4.13653,1.96228,0.5737,0.17191,0.18139,0.08998,1.93901,2.92761,2.38417,2.69871e-05,2.69871e-05,2.69871e-05
2,634.939,1.59,2.92699,1.86961,0.4877,0.30852,0.32094,0.1658,1.90561,2.55111,2.37525,5.29181e-05,5.29181e-05,5.29181e-05
3,939.787,1.54749,2.52867,1.83841,0.48068,0.30511,0.34399,0.16903,1.91211,2.56198,2.37119,7.778e-05,7.778e-05,7.778e-05
4,1242.21,1.55174,2.30223,1.83213,0.47993,0.37509,0.382,0.19459,1.9487,2.2439,2.37207,7.61886e-05,7.61886e-05,7.61886e-05
5,1547.56,1.51046,2.06742,1.79051,0.45791,0.43049,0.43183,0.23553,1.91938,2.15386,2.32651,7.45848e-05,7.45848e-05,7.45848e-05
6,1854.87,1.48367,1.92843,1.77497,0.53261,0.45221,0.46357,0.24401,1.88749,2.02076,2.3145,7.2981e-05,7.2981e-05,7.2981e-05
7,2158.57,1.44213,1.79722,1.745,0.53153,0.4606,0.46584,0.24703,1.89087,2.04167,2.29194,7.13772e-05,7.13772e-05,7.13772e-05
8,2461.03,1.42927,1.6913,1.73917,0.56191,0.46427,0.5022,0.25796,1.87022,1.87126,2.32385,6.97734e-05,6.97734e-05,6.97734e-05
9,2764.92,1.39876,1.60008,1.71482,0.60623,0.45706,0.50684,0.26933,1.87568,1.86955,2.28951,6.81696e-05,6.81696e-05,6.81696e-05
10,3081.11,1.38447,1.52958,1.69759,0.55091,0.52703,0.53068,0.27659,1.85491,1.78464,2.29774,6.65658e-05,6.65658e-05,6.65658e-05
11,3392.49,1.35783,1.45668,1.67256,0.56738,0.51778,0.53586,0.27809,1.86106,1.7229,2.29826,6.4962e-05,6.4962e-05,6.4962e-05
12,3697.5,1.33347,1.38158,1.65471,0.55965,0.55683,0.5449,0.29184,1.83352,1.68315,2.32145,6.33582e-05,6.33582e-05,6.33582e-05
13,4007.06,1.308,1.33995,1.6396,0.65304,0.45421,0.53655,0.2933,1.82587,1.6842,2.30806,6.17544e-05,6.17544e-05,6.17544e-05
14,4315.59,1.29542,1.2826,1.63096,0.60897,0.49805,0.53062,0.2932,1.82267,1.66995,2.31256,6.01506e-05,6.01506e-05,6.01506e-05
15,4624.4,1.26231,1.23824,1.60422,0.57733,0.48094,0.52923,0.29123,1.81825,1.72794,2.30129,5.85468e-05,5.85468e-05,5.85468e-05
16,4933.51,1.23982,1.19302,1.5843,0.62473,0.51254,0.55254,0.29756,1.80682,1.68381,2.30704,5.6943e-05,5.6943e-05,5.6943e-05
17,5243.58,1.22312,1.15928,1.5668,0.58407,0.53901,0.5633,0.31039,1.78458,1.59433,2.28238,5.53392e-05,5.53392e-05,5.53392e-05
18,5557.58,1.19694,1.13795,1.54749,0.61265,0.51012,0.54747,0.29625,1.81661,1.61002,2.30575,5.37354e-05,5.37354e-05,5.37354e-05
19,5871.17,1.17479,1.09368,1.53287,0.59189,0.55648,0.57723,0.31822,1.7904,1.57192,2.31405,5.21316e-05,5.21316e-05,5.21316e-05
20,6178.69,1.16024,1.07189,1.51787,0.59634,0.54898,0.56407,0.30014,1.79923,1.53214,2.32748,5.05278e-05,5.05278e-05,5.05278e-05
21,6489.56,1.13686,1.02559,1.49956,0.62331,0.53863,0.56544,0.31066,1.75266,1.54349,2.26273,4.8924e-05,4.8924e-05,4.8924e-05
22,6803.4,1.12347,1.00018,1.4904,0.62455,0.53206,0.5747,0.3171,1.74513,1.53634,2.28829,4.73202e-05,4.73202e-05,4.73202e-05
23,7116.21,1.10379,0.97856,1.47328,0.62356,0.50297,0.56398,0.31559,1.75388,1.53884,2.304,4.57164e-05,4.57164e-05,4.57164e-05
24,7429.18,1.07512,0.93837,1.45334,0.66527,0.54082,0.58099,0.32303,1.74629,1.53214,2.29829,4.41126e-05,4.41126e-05,4.41126e-05
25,7741.92,1.05201,0.9179,1.43507,0.63182,0.58026,0.59711,0.32803,1.75216,1.50931,2.31778,4.25088e-05,4.25088e-05,4.25088e-05
26,8055,1.03647,0.88691,1.41964,0.65033,0.5434,0.58799,0.33183,1.73861,1.51718,2.3185,4.0905e-05,4.0905e-05,4.0905e-05
27,8368.78,1.01921,0.87106,1.40988,0.65114,0.57548,0.60817,0.33502,1.73667,1.48899,2.34416,3.93012e-05,3.93012e-05,3.93012e-05
28,8682.24,1.00547,0.84939,1.39482,0.66073,0.54353,0.58196,0.32853,1.70054,1.48466,2.29054,3.76974e-05,3.76974e-05,3.76974e-05
29,8995.6,0.99095,0.83425,1.38796,0.63981,0.52776,0.58395,0.32774,1.71535,1.49939,2.33973,3.60936e-05,3.60936e-05,3.60936e-05
30,9309.44,0.97466,0.82099,1.3741,0.68505,0.53406,0.59029,0.33232,1.69447,1.47739,2.31517,3.44898e-05,3.44898e-05,3.44898e-05
31,9622.63,0.95672,0.79263,1.35495,0.66298,0.56135,0.60417,0.34487,1.68169,1.45843,2.3243,3.2886e-05,3.2886e-05,3.2886e-05
32,9958.27,0.94087,0.78517,1.35241,0.66779,0.54328,0.59152,0.33976,1.70511,1.47012,2.32101,3.12822e-05,3.12822e-05,3.12822e-05
33,10268.5,0.92542,0.76319,1.33024,0.71699,0.53815,0.61463,0.35357,1.68557,1.45754,2.30536,2.96784e-05,2.96784e-05,2.96784e-05
34,10573.3,0.90414,0.74266,1.3147,0.65208,0.55938,0.58886,0.34102,1.66817,1.44385,2.31895,2.80746e-05,2.80746e-05,2.80746e-05
35,10879.6,0.89619,0.73353,1.31167,0.61251,0.5699,0.5928,0.34845,1.67607,1.48741,2.32552,2.64708e-05,2.64708e-05,2.64708e-05
36,11187.5,0.88535,0.71702,1.30556,0.68246,0.56536,0.60438,0.35275,1.65638,1.44918,2.3131,2.4867e-05,2.4867e-05,2.4867e-05
37,11496.4,0.8732,0.71729,1.29544,0.677,0.56414,0.59626,0.34292,1.66819,1.43823,2.36639,2.32632e-05,2.32632e-05,2.32632e-05
38,11806.2,0.85702,0.6863,1.27817,0.68817,0.53518,0.60816,0.35457,1.65628,1.46963,2.32917,2.16594e-05,2.16594e-05,2.16594e-05
39,12115.4,0.85278,0.69091,1.27831,0.64196,0.58448,0.60156,0.34926,1.65325,1.45262,2.33337,2.00556e-05,2.00556e-05,2.00556e-05
40,12423.3,0.8355,0.66933,1.26524,0.66488,0.56263,0.59528,0.34162,1.66002,1.44053,2.36606,1.84518e-05,1.84518e-05,1.84518e-05
41,12729.8,0.71893,0.48381,1.24812,0.69381,0.53579,0.58857,0.33999,1.65477,1.46177,2.36463,1.6848e-05,1.6848e-05,1.6848e-05
42,13035.6,0.68842,0.44776,1.21738,0.67887,0.54331,0.59212,0.3431,1.65748,1.44371,2.40781,1.52442e-05,1.52442e-05,1.52442e-05
43,13340.9,0.67431,0.43964,1.21058,0.68064,0.54544,0.58657,0.33988,1.64769,1.45546,2.39611,1.36404e-05,1.36404e-05,1.36404e-05
44,13646.5,0.66377,0.4308,1.20493,0.65495,0.57098,0.59058,0.3469,1.6456,1.45554,2.39003,1.20366e-05,1.20366e-05,1.20366e-05
45,13952.7,0.6419,0.41385,1.18749,0.66925,0.54789,0.58682,0.34059,1.64868,1.46678,2.4043,1.04328e-05,1.04328e-05,1.04328e-05
46,14258.3,0.63441,0.40491,1.17684,0.69577,0.52813,0.59212,0.34265,1.65921,1.45458,2.43398,8.829e-06,8.829e-06,8.829e-06
47,14563.6,0.61321,0.38977,1.15667,0.69646,0.53711,0.59128,0.34304,1.64956,1.45853,2.44201,7.2252e-06,7.2252e-06,7.2252e-06
48,14869,0.60487,0.38345,1.14875,0.6949,0.52916,0.58654,0.34366,1.64358,1.45255,2.43106,5.6214e-06,5.6214e-06,5.6214e-06
49,15174.5,0.59901,0.37583,1.14422,0.68582,0.53577,0.58634,0.34206,1.63764,1.4523,2.42427,4.0176e-06,4.0176e-06,4.0176e-06
50,15479.7,0.59346,0.37361,1.14411,0.68306,0.54401,0.58819,0.34272,1.63696,1.45246,2.43361,2.4138e-06,2.4138e-06,2.4138e-06
