epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.547,1.65614,4.82115,1.91743,0.59406,0.1008,0.08917,0.04474,1.89447,3.44902,2.26355,2.69483e-05,2.69483e-05,2.69483e-05
2,576.396,1.57058,3.06445,1.76263,0.57068,0.25695,0.24811,0.12451,1.886,2.56369,2.1876,5.28801e-05,5.28801e-05,5.28801e-05
3,855.044,1.53565,2.37107,1.72311,0.51648,0.35766,0.35855,0.18909,1.90053,2.33041,2.27396,7.77427e-05,7.77427e-05,7.77427e-05
4,1126.74,1.48737,2.03651,1.67484,0.57551,0.38024,0.4329,0.23087,1.87196,2.00848,2.21008,7.61886e-05,7.61886e-05,7.61886e-05
5,1398.52,1.46321,1.78299,1.64285,0.5926,0.42226,0.46143,0.23387,1.87041,1.98509,2.14178,7.45848e-05,7.45848e-05,7.45848e-05
6,1550.43,1.42645,1.61939,1.61328,0.59375,0.41412,0.45289,0.23496,1.84682,1.926,2.14299,7.2981e-05,7.2981e-05,7.2981e-05
7,1704.82,1.38958,1.49847,1.59151,0.58526,0.48598,0.50538,0.26861,1.84641,1.87344,2.17686,7.13772e-05,7.13772e-05,7.13772e-05
8,1858.96,1.3586,1.3875,1.55933,0.58195,0.44586,0.47961,0.25196,1.84367,1.86534,2.14083,6.97734e-05,6.97734e-05,6.97734e-05
9,2013.1,1.32618,1.31818,1.53961,0.58847,0.44502,0.51045,0.26275,1.84183,1.79516,2.12757,6.81696e-05,6.81696e-05,6.81696e-05
10,2167.5,1.29771,1.25111,1.51509,0.61044,0.46099,0.49492,0.26114,1.81973,1.72525,2.12654,6.65658e-05,6.65658e-05,6.65658e-05
11,2321.99,1.27864,1.20297,1.50126,0.64526,0.4698,0.51107,0.26989,1.82138,1.68608,2.13614,6.4962e-05,6.4962e-05,6.4962e-05
12,2476.52,1.25733,1.13811,1.48091,0.60763,0.46601,0.52168,0.27001,1.81116,1.76021,2.12997,6.33582e-05,6.33582e-05,6.33582e-05
13,2631.39,1.21938,1.10142,1.46091,0.5762,0.52331,0.53595,0.28871,1.80977,1.66952,2.13785,6.17544e-05,6.17544e-05,6.17544e-05
14,2786.14,1.19914,1.05767,1.44435,0.55482,0.51932,0.52945,0.28257,1.78711,1.65769,2.12385,6.01506e-05,6.01506e-05,6.01506e-05
15,2940.98,1.17499,1.03236,1.42737,0.63302,0.48272,0.53707,0.28831,1.78824,1.63881,2.11447,5.85468e-05,5.85468e-05,5.85468e-05
16,3095.56,1.16485,1.00171,1.41719,0.6387,0.50033,0.56344,0.30621,1.75426,1.60758,2.12396,5.6943e-05,5.6943e-05,5.6943e-05
17,3250.05,1.13378,0.96826,1.39621,0.65134,0.49841,0.54505,0.28803,1.78559,1.60989,2.15364,5.53392e-05,5.53392e-05,5.53392e-05
18,3405.04,1.11982,0.94464,1.38502,0.68639,0.48605,0.55673,0.30343,1.76544,1.62069,2.12909,5.37354e-05,5.37354e-05,5.37354e-05
19,3559.58,1.08876,0.91204,1.36751,0.56113,0.53141,0.5594,0.30439,1.75352,1.64554,2.14279,5.21316e-05,5.21316e-05,5.21316e-05
20,3714.22,1.0754,0.89548,1.35971,0.63295,0.49969,0.55311,0.29878,1.76308,1.59542,2.13773,5.05278e-05,5.05278e-05,5.05278e-05
21,3874.3,1.05078,0.86204,1.33756,0.68183,0.46683,0.53284,0.29418,1.75213,1.56726,2.12888,4.8924e-05,4.8924e-05,4.8924e-05
22,4037.13,1.04336,0.84366,1.32887,0.67216,0.48169,0.53924,0.30509,1.7455,1.63935,2.13265,4.73202e-05,4.73202e-05,4.73202e-05
23,4192.04,1.02844,0.83065,1.32156,0.6353,0.51978,0.55126,0.31392,1.72618,1.59694,2.11482,4.57164e-05,4.57164e-05,4.57164e-05
24,4342.21,1.01555,0.81972,1.3129,0.651,0.4898,0.5275,0.29416,1.73385,1.5912,2.1341,4.41126e-05,4.41126e-05,4.41126e-05
25,4496.78,0.99057,0.78884,1.29506,0.6497,0.49239,0.54341,0.30384,1.73689,1.60833,2.13474,4.25088e-05,4.25088e-05,4.25088e-05
26,4650.45,0.98644,0.7747,1.28929,0.66485,0.51842,0.5622,0.31735,1.71778,1.57835,2.14768,4.0905e-05,4.0905e-05,4.0905e-05
27,4804.45,0.9683,0.77458,1.28096,0.66334,0.51327,0.54566,0.30781,1.71208,1.57288,2.14667,3.93012e-05,3.93012e-05,3.93012e-05
28,4958.95,0.95506,0.75445,1.27045,0.65439,0.50704,0.5543,0.31787,1.70425,1.58073,2.14688,3.76974e-05,3.76974e-05,3.76974e-05
29,5109.37,0.94219,0.73505,1.25945,0.62984,0.52206,0.57289,0.3306,1.68446,1.60618,2.15505,3.60936e-05,3.60936e-05,3.60936e-05
30,5269.98,0.92878,0.72076,1.25042,0.67782,0.51191,0.56117,0.3239,1.6822,1.60132,2.13171,3.44898e-05,3.44898e-05,3.44898e-05
31,5429.58,0.91326,0.72435,1.24405,0.65201,0.48975,0.55115,0.32305,1.65906,1.57809,2.12405,3.2886e-05,3.2886e-05,3.2886e-05
32,5587.92,0.91191,0.70484,1.24613,0.6298,0.52509,0.55987,0.32285,1.67003,1.58557,2.13034,3.12822e-05,3.12822e-05,3.12822e-05
