epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.426,0.81703,0.6306,1.18199,0.66714,0.49706,0.57656,0.33371,1.65119,1.61272,2.18238,2.69483e-05,2.69483e-05,2.69483e-05
2,304.262,0.85013,0.65426,1.19404,0.69491,0.4899,0.55203,0.31801,1.67349,1.64453,2.18343,5.28801e-05,5.28801e-05,5.28801e-05
3,456.959,0.88825,0.70164,1.22658,0.56503,0.53342,0.54107,0.30784,1.70251,1.69252,2.21505,7.77427e-05,7.77427e-05,7.77427e-05
4,610.725,0.91231,0.73944,1.24195,0.68285,0.46038,0.54531,0.30865,1.72969,1.66993,2.17018,7.61886e-05,7.61886e-05,7.61886e-05
5,765.058,0.91034,0.71652,1.23607,0.66769,0.4783,0.52564,0.29736,1.72914,1.62163,2.1598,7.45848e-05,7.45848e-05,7.45848e-05
6,919.781,0.90318,0.70758,1.23205,0.61963,0.50309,0.53939,0.30448,1.68972,1.61241,2.15566,7.2981e-05,7.2981e-05,7.2981e-05
7,1074.65,0.89371,0.6962,1.23049,0.62041,0.52691,0.54478,0.31611,1.69068,1.70499,2.15972,7.13772e-05,7.13772e-05,7.13772e-05
8,1230.3,0.87725,0.68206,1.21315,0.66416,0.47813,0.53715,0.30678,1.71004,1.62216,2.17414,6.97734e-05,6.97734e-05,6.97734e-05
9,1385.2,0.86436,0.67624,1.21205,0.68505,0.4906,0.55782,0.32029,1.67063,1.58039,2.1541,6.81696e-05,6.81696e-05,6.81696e-05
10,1559.89,0.8527,0.65857,1.19883,0.68322,0.49058,0.55188,0.31797,1.6781,1.66444,2.16533,6.65658e-05,6.65658e-05,6.65658e-05
11,1705.4,0.84808,0.65098,1.1968,0.65862,0.50727,0.56409,0.32017,1.70063,1.66168,2.16374,6.4962e-05,6.4962e-05,6.4962e-05
12,1850.85,0.83642,0.64064,1.18719,0.67749,0.47466,0.52945,0.30973,1.6869,1.6896,2.19053,6.33582e-05,6.33582e-05,6.33582e-05
13,1996.34,0.82465,0.62866,1.18279,0.67345,0.46073,0.53299,0.30407,1.68087,1.65599,2.16457,6.17544e-05,6.17544e-05,6.17544e-05
14,2141.81,0.81364,0.61476,1.17742,0.68843,0.47703,0.54942,0.31996,1.67287,1.65094,2.17682,6.01506e-05,6.01506e-05,6.01506e-05
15,2287.24,0.80157,0.61527,1.1708,0.68378,0.48851,0.55142,0.32561,1.6426,1.63088,2.14527,5.85468e-05,5.85468e-05,5.85468e-05
16,2432.67,0.79536,0.6049,1.16375,0.67792,0.49573,0.56453,0.33091,1.66088,1.58645,2.15577,5.6943e-05,5.6943e-05,5.6943e-05
17,2578.11,0.79108,0.59904,1.16001,0.60889,0.51909,0.55735,0.33292,1.64356,1.59933,2.15705,5.53392e-05,5.53392e-05,5.53392e-05
